Feature,Importance,Model,Run
Perimeter,37.2071140780804,SVC,run_13
Area,0.0002167589449712,LogisticRegression,run_13
MajorAxisLength,-0.0474836244331033,LogisticRegression,run_13
MinorAxisLength,-0.0896521197711455,LogisticRegression,run_13
Eccentricity,-0.0003884655300773,LogisticRegression,run_13
ConvexArea,-5.131439512978879e-05,LogisticRegression,run_13
Extent,-0.0005485294057361,LogisticRegression,run_13
Perimeter,0.0255421831450152,LogisticRegression,run_13
Area,0.1386791697813948,RandomForestClassifier,run_13
MajorAxisLength,0.2712242370004949,RandomForestClassifier,run_13
MinorAxisLength,0.0764541272017493,RandomForestClassifier,run_13
Eccentricity,0.0775727450344604,RandomForestClassifier,run_13
ConvexArea,0.1650302191169008,RandomForestClassifier,run_13
Extent,0.0649261182918889,RandomForestClassifier,run_13
Perimeter,0.2061133835731106,RandomForestClassifier,run_13
Area,-0.6560057261958718,SVC,run_6
MajorAxisLength,-20.77222644910944,SVC,run_6
MinorAxisLength,-167.03024926492003,SVC,run_6
Eccentricity,0.3779619342270726,SVC,run_6
ConvexArea,1.0755433584563434,SVC,run_6
Extent,0.0923778953773689,SVC,run_6
Perimeter,19.519993748203436,SVC,run_6
Area,0.0001618410539923,LogisticRegression,run_6
MajorAxisLength,-0.0523740508192223,LogisticRegression,run_6
MinorAxisLength,-0.0978670286940324,LogisticRegression,run_6
Eccentricity,-0.0003935816431455,LogisticRegression,run_6
ConvexArea,8.852593480894297e-06,LogisticRegression,run_6
Extent,-0.0005204974175262,LogisticRegression,run_6
Perimeter,0.0286517647319132,LogisticRegression,run_6
Area,0.1291927980804789,RandomForestClassifier,run_6
MajorAxisLength,0.2820314082669098,RandomForestClassifier,run_6
MinorAxisLength,0.067017922250857,RandomForestClassifier,run_6
Eccentricity,0.0939578533469491,RandomForestClassifier,run_6
ConvexArea,0.1316503552813188,RandomForestClassifier,run_6
Extent,0.0642287428105952,RandomForestClassifier,run_6
Perimeter,0.2319209199628911,RandomForestClassifier,run_6
Area,-0.8113759127445519,SVC,run_18
MajorAxisLength,-20.3220073796615,SVC,run_18
MinorAxisLength,-120.6334793927898,SVC,run_18
Eccentricity,-0.1015229817454095,SVC,run_18
ConvexArea,1.0480615412816403,SVC,run_18
Extent,-0.3779655384503085,SVC,run_18
Perimeter,30.38035828122861,SVC,run_18
Area,-0.0004876199769503,LogisticRegression,run_18
MajorAxisLength,0.0151979008960066,LogisticRegression,run_18
MinorAxisLength,-0.0283750687665037,LogisticRegression,run_18
Eccentricity,1.1669243118499616e-05,LogisticRegression,run_18
ConvexArea,0.0006205928078525,LogisticRegression,run_18
Extent,-7.991924308898811e-05,LogisticRegression,run_18
Perimeter,-0.0103902730812938,LogisticRegression,run_18
Area,0.129573763695309,RandomForestClassifier,run_18
MajorAxisLength,0.2155758305127634,RandomForestClassifier,run_18
MinorAxisLength,0.0845017056220241,RandomForestClassifier,run_18
Eccentricity,0.087696027249502,RandomForestClassifier,run_18
ConvexArea,0.1418733250355394,RandomForestClassifier,run_18
Extent,0.0573238185560315,RandomForestClassifier,run_18
Perimeter,0.2834555293288302,RandomForestClassifier,run_18
Area,1.3316146433353424,SVC,run_19
MajorAxisLength,-74.12787850095822,SVC,run_19
MinorAxisLength,-150.4316385070308,SVC,run_19
Eccentricity,-0.0519513537870727,SVC,run_19
ConvexArea,-1.2840556520968676,SVC,run_19
Extent,-0.4741197546574458,SVC,run_19
Perimeter,102.03230162037858,SVC,run_19
Area,0.0006187553747128,LogisticRegression,run_19
MajorAxisLength,-0.0704218342093449,LogisticRegression,run_19
MinorAxisLength,-0.1147349327387051,LogisticRegression,run_19
Eccentricity,-0.0004302176079435,LogisticRegression,run_19
ConvexArea,-0.0004542367249446,LogisticRegression,run_19
Extent,-0.0007314463221494,LogisticRegression,run_19
Perimeter,0.0406721514120145,LogisticRegression,run_19
Area,0.1564844509167913,RandomForestClassifier,run_19
MajorAxisLength,0.2085909091612787,RandomForestClassifier,run_19
